manufacturer;name;rname;cores;threads;base;boost;l1;l2;l3;l1asso;pagesize;loadbuffer;l1dtlb;microarchitecture
Intel;Intel(R) Core(TM) i9-10900K;;10;20;3.70;5.30;32;256;20;8;4096;72;64;Comet Lake
Intel;Intel(R) Core(TM) i7-8565U;;4;8;2.00;4.60;32;256;8;8;4096;;64;Whiskey Lake
Intel;Intel(R) Core(TM) i7-10700;;8;16;2.90;4.80;32;256;16;8;4096;;64;Comet Lake
Apple;Apple M1;;8;8;2.00;3.20;128;12288;;8;4096;;256;Firestorm and Icestorm
Intel;Intel(R) Core(TM) i7-7500U;;2;4;2.70;3.50;32;256;4;8;4096;;64;Kaby Lake
AMD;AMD Ryzen 5 5600X;;6;12;3.70;4.60;32;512;32;8;4096;;64;Zen 3
Intel;Intel(R) Core(TM) i5-7300U;;2;4;2.60;3.50;32;256;3;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-8265U;;4;8;1.60;3.90;32;256;6;8;4096;;64;Whiskey Lake
Intel;Intel(R) Core(TM) i5-11400F;;6;12;2.60;4.40;32;256;12;8;4096;;64;Rocket Lake
AMD;AMD Ryzen 7 2700;;8;16;3.20;4.10;32;512;8;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i7-8550U;;4;8;1.80;4.00;32;256;8;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i7-7700HQ;;4;8;2.80;3.80;32;256;6;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i7-4850HQ;;4;8;2.30;3.50;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i5-7500;;4;4;3.40;3.80;32;256;6;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i7-3540M;;2;4;3.00;3.70;32;256;4;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i7-8700;;6;12;3.20;4.60;32;256;12;8;4096;;64;Coffee Lake
AMD;AMD FX(TM)-8350;;8;8;4.00;4.20;16;2048;8;4;4096;;;Piledriver
AMD;AMD Ryzen 7 3800X;;8;16;3.90;4.50;32;512;16;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i5-3230M;;2;4;2.60;3.20;32;256;3;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i9-9980HK;;8;16;2.40;5.00;32;256;16;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-3615QM;;4;8;2.30;3.30;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Celeron(R) CPU N3350;;2;2;1.10;2.40;24;2048;;6;4096;;64;Goldmont
Intel;Intel(R) Core(TM) i7-9700;;8;8;3.00;4.70;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-10210U;;4;8;1.60;4.20;32;256;6;8;4096;;64;Comet Lake
Intel;Intel(R) Xeon(R) CPU E3-1505M v5;;4;8;2.80;3.70;32;256;8;8;4096;;64;Skylake
AMD;AMD Ryzen 5 3550H;;4;8;2.10;3.70;32;512;4;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i7-6700K;;4;8;4.00;4.20;32;256;8;8;4096;;64;Skylake
AMD;AMD Ryzen 5 4500U;;6;6;2.30;4.00;32;512;8;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i5-4278U;;2;4;2.60;3.10;32;256;3;8;4096;;64;Haswell
AWS;AWS Graviton A1;ARM Cortex-A72;16;16;2.30;2.30;32;2048;;2;4096;;32;Cortex-A72
AMD;AMD Ryzen 7 3700X;;8;16;3.60;4.40;32;512;16;8;4096;;64;Zen 2
AMD;AMD Ryzen 3 4300U;;4;4;2.70;3.70;32;512;4;8;4096;;64;Zen 2
AMD;AMD Ryzen 7 4800HS;;8;16;2.90;4.20;32;512;4;8;4096;;64;Zen 2
Intel;Intel(R) Core(TM) i5-4570;;4;4;3.20;3.60;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-8650U;;4;8;1.90;4.20;32;256;8;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-8259U;;4;8;2.30;3.80;32;256;6;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-10875H;;8;16;2.30;5.10;32;256;16;8;4096;;64;Comet Lake
AMD;AMD Ryzen 5 1600X;;6;12;3.60;4.00;32;512;8;8;4096;;64;Zen
Intel;Intel(R) Core(TM) i9-8950HK;;6;12;2.90;4.80;32;256;12;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i7-6700;;4;8;3.40;4.00;32;256;8;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i5-7287U;;2;4;3.30;3.70;32;256;4;8;4096;;64;Kaby Lake
Intel;Intel(R) Core(TM) i5-8600K;;6;6;3.60;4.30;32;256;9;8;4096;;64;Coffee Lake
Intel;Intel(R) Core(TM) i5-3470;;4;4;3.20;3.60;32;256;6;8;4096;;64;Ivy Bridge
Intel;Intel(R) Core(TM) i5-8365U;;4;8;1.60;4.10;32;256;6;8;4096;;64;Whiskey Lake
AMD;AMD Ryzen 7 2700X;;8;16;3.70;4.30;32;512;8;8;4096;;64;Zen+
Intel;Intel(R) Core(TM) i5-4670K;;4;4;3.40;3.80;32;256;6;8;4096;;64;Haswell
Intel;Intel(R) Core(TM) i7-6500U;;2;4;2.50;3.10;32;256;4;8;4096;;64;Skylake
Intel;Intel(R) Core(TM) i7-10510U;;4;8;1.80;4.90;32;256;8;8;4096;;64;Comet Lake
Intel;Intel(R) Core(TM) i7-7567U;;2;4;3.50;4.00;32;256;4;8;4096;;64;Kaby Lake
